City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
582,Tessalit,ML,90.91,20.1986,1.0114,
588,Misratah,LY,82.54,32.3754,15.0925,Almasa Hotel
590,Nicolet,CA,79.25,46.2168,-72.6158,Montfort Nicolet Hotel
591,Tukrah,LY,78.37,32.5341,20.5791,Lagrota restaurant
592,Mitsamiouli,KM,76.1,-11.3847,43.2844,Foyer ADM
597,Victoria,HK,84.38,22.2855,114.1577,Mini Central
601,Daura,NG,81.52,11.5538,11.4085,
606,Kunya,NG,78.96,12.2233,8.5325,
607,Douglas,US,84.13,41.3,-96.167,Hilton Garden Inn Omaha West
608,Gulabpura,IN,80.31,25.9,74.6667,Hotel N chandra
609,Itoman,JP,78.82,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
611,Pizarro,CO,79.68,4.9533,-77.366,Hotel Limonar
614,Seydi,TM,86.16,39.4816,62.9137,Seydi oteli
615,Islamkot,PK,84.85,24.6997,70.177,Haji Hotel
616,Covington,US,88.23,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
618,Sarangani,PH,83.88,5.4033,125.4636,JVL Inn and Cafeteria
620,Samarai,PG,81.07,-10.6167,150.6667,Nuli Sapi
621,Carutapera,BR,75.42,-1.195,-46.02,Lidera
626,Alta Floresta,BR,87.62,-9.8756,-56.0861,Floresta Amazonica Hotel
627,Parbatipur,BD,81.18,25.6649,88.9247,ARMAN Telecom
633,Salalah,OM,84.29,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
637,Ribas Do Rio Pardo,BR,76.78,-20.4431,-53.7592,Pousada Avenida
638,Altamont,US,83.77,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
640,Santo Tomas,PH,79.56,14.1079,121.1414,Microtel by Wyndham Batangas
641,Lucea,JM,87.85,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
642,Celestun,MX,84.87,20.8667,-90.4,Posada Lilia
643,Malakal,SS,78.37,9.5334,31.6605,Nile Palace Hotel
651,Poya,NC,76.3,-21.35,165.15,
652,Srandakan,ID,75.47,-7.9386,110.2506,Puri Brata
655,Crixas,BR,78.58,-14.5489,-49.9692,RISO HOTEL
665,Tadpatri,IN,81.32,14.9167,78.0167,Hotel Sri Ranga Lodge
666,College,US,76.28,64.8569,-147.8028,Pike's Waterfront Lodge
668,Madang,PG,78.22,-5.2246,145.7966,Comfort Inn Hotel
669,Liku,ID,75.81,-0.7275,119.8922,Kost annisa
670,Dhangadhi,NP,82.56,28.7079,80.5961,Hotel Devotee
671,Burla,IN,76.77,21.5,83.8667,VSSUT Guest House
675,Portland,US,77.45,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
676,Kimbe,PG,79.2,-5.5502,150.1429,Kimbe Bay Hotel
681,Sao Felix Do Xingu,BR,80.67,-6.6447,-51.995,Rio Xingu Camping
682,Saint-Georges,GD,83.88,12.0564,-61.7485,Radisson Grenada Beach Resort
685,Kermanshah,IR,76.1,34.3142,47.065,Sina Hotel
689,Kieta,PG,82.4,-6.2167,155.6333,Uruna Bay Retreat
690,Bubaque,GW,80.31,11.2833,-15.8333,"Casa Dora, Bubaque"
697,Phan Thiet,VN,76.71,10.9333,108.1,Hotel Saigon-PT
700,Piacabucu,BR,76.21,-10.4056,-36.4344,Piaçabuçu News
